general_position,count,mean,std,min,25%,50%,75%,max
Defender,41.0,32401660.042525284,42201540.88866252,259268.29268292684,7658501.4409221895,17231628.242074925,38292507.20461095,203436206.89655173
Forward,31.0,138020430.9291822,241873205.00680017,765850.144092219,8499827.866554528,23766260.162601627,117453222.83134168,959292682.9268293
Goalkeeper,6.0,102244039.45859243,96160709.86992808,8642276.422764229,22145833.333333336,86601569.94673395,165372939.44491172,239328170.02881843
Midfield,43.0,138736154.3507958,317845566.4041102,352291.0662824207,5085905.172413793,22975504.32276657,133223998.1601254,1869771986.9706838
