,name,last_season,average_value
130,Abdul Basit,2016.0,75000.0
131,Abdul Ibrahim,2021.0,100000.0
132,Abdul Khalili,2019.0,907000.0
133,Abdul Mumin,2023.0,992187.5
134,Abdul Nurudeen,2023.0,207692.3076923077
135,Abdul Osman,2018.0,283333.3333333333
136,Abdul Rahman Baba,2023.0,4505357.142857143
137,Abdul Rahman Weiss,2022.0,379545.45454545453
138,Abdul Razak,2014.0,308928.5714285714
139,Abdul-Aziz Tetteh,2020.0,687037.0370370371
140,Abdul-Yakuni Iddi,2013.0,442307.6923076923
141,Abdulaziz Demircan,2017.0,176250.0
142,Abdulcebrail Akbulut,2019.0,65625.0
143,Abdulhamit Yildiz,2014.0,155681.81818181818
144,Abdulkadir Celik,2021.0,41666.666666666664
145,Abdulkadir Korkut,2012.0,151388.88888888888
146,Abdulkadir Parmak,2023.0,1519444.4444444445
147,Abdulkadir Sönmez,2017.0,41666.666666666664
148,Abdulkadir Sünger,2020.0,208333.33333333334
149,Abdulkadir Tasdan,2023.0,50000.0
150,Abdulkadir Özdemir,2016.0,368750.0
151,Abdulkadir Özgen,2013.0,437500.0
152,Abdulkerim Cakar,2023.0,78125.0
153,Abdulla Abdullaev,2023.0,75000.0
154,Abdulla Bagamaev,2023.0,50000.0
155,Abdullah Al-Hafith,2012.0,288157.8947368421
156,Abdullah Al-Jawaey,2018.0,312500.0
157,Abdullah Balikci,2016.0,72500.0
158,Abdullah Celik,2020.0,95833.33333333333
159,Abdullah Coban,2013.0,82692.30769230769
160,Abdullah Durak,2022.0,825735.2941176471
161,Abdullah Gürbüz,2018.0,50000.0
162,Abdullah Halman,2012.0,150000.0
163,Abdullah Karakoc,2014.0,66666.66666666667
164,Abdullah Karmil,2012.0,256818.18181818182
165,Abdullah Sahindere,2020.0,109375.0
166,Abdullah Yigiter,2022.0,94230.76923076923
167,Abdullahi Nura,2017.0,475000.0
168,Abdullahi Shehu,2018.0,605555.5555555555
169,Abdullo Dzhebov,2022.0,75000.0
170,Abdulrahman Taiwo,2021.0,329545.45454545453
171,Abdulsamed Damlu,2021.0,276315.7894736842
172,Abdulsamet Burak,2023.0,100000.0
173,Abdulsamet Kaya,2020.0,37500.0
174,Abdulwaheed Afolabi,2012.0,150000.0
175,Abdurrahim Dursun,2023.0,264062.5
176,Abdurrahman Ayhanoglu,2012.0,87500.0
177,Abdurrahman Canli,2020.0,210416.66666666666
178,Abdurrahman Dereli,2014.0,1697619.0476190476
179,Abdurrahman Kuyucu,2013.0,54166.666666666664
180,Abdussamed Karnucu,2018.0,110714.28571428571
181,Abdón Prats,2023.0,782500.0
182,Abdülkadir Kayali,2016.0,434615.3846153846
183,Abdülkadir Ömür,2023.0,7540909.090909091
184,Abdülkerim Bardakci,2023.0,1779464.2857142857
185,Abdülkerim Kilic,2013.0,50000.0
186,Abeiku Quansah,2012.0,230000.0
187,Abel Aguilar,2015.0,1884482.7586206896
188,Abel Camará,2021.0,511956.52173913043
189,Abel Gómez,2014.0,776000.0
190,Abel Hernández,2018.0,4762068.9655172415
191,Abel Khaled,2012.0,211666.66666666666
192,Abel Ruiz,2023.0,5510526.315789473
193,Abel Tamata,2016.0,388461.53846153844
194,Abiola Dauda,2021.0,613709.6774193548
195,Ablaye Faye,2018.0,192857.14285714287
196,Ablaye Mbengue,2019.0,913333.3333333334
197,Ablie Jallow,2023.0,750000.0
198,Abner,2023.0,5309090.909090909
199,Abou Ba,2022.0,493750.0
200,Abou Diaby,2016.0,3519565.217391304
201,Abou Diop,2018.0,290000.0
202,Abou Kanté,2019.0,733333.3333333334
203,Abou Lo,2023.0,250000.0
204,Abou Ouattara,2020.0,450000.0
205,Aboubakar Kamara,2023.0,2140000.0
206,Aboubakar Keita,2021.0,332894.7368421053
207,Aboubakar Oumarou,2014.0,955357.1428571428
208,Aboubakar Sidibé,2021.0,100000.0
209,Aboubakary Koita,2023.0,652777.7777777778
210,Abraham Attobrah,2015.0,106250.0
211,Abraham Gneki Guié,2013.0,719117.6470588235
212,Abraham González,2015.0,789285.7142857143
213,Abraham Kudemor,2013.0,435714.28571428574
214,Abraham Marcus,2022.0,1420000.0
215,Abraham Minero,2014.0,744827.5862068966
216,Abraham Okyere,2021.0,45000.0
217,Abu Francis,2023.0,1220000.0
218,Abubakar Inalkaev,2023.0,42000.0
219,Abubakar Kadyrov,2022.0,50000.0
220,Abud Omar,2018.0,308333.3333333333
221,Abuda,2015.0,735416.6666666666
222,Abukar Mohamed,2019.0,66666.66666666667
223,Accioly,2018.0,65909.09090909091
224,Accursio Bentivegna,2016.0,436904.7619047619
225,Achille Anani,2012.0,641666.6666666666
226,Achille Vaarnold,2015.0,178571.42857142858
227,Achilleas Poungouras,2023.0,456944.44444444444
228,Achilleas Sarakatsanos,2013.0,410714.28571428574
229,Achraf Achaoui,2015.0,125000.0
230,Achraf Dari,2023.0,1125000.0
231,Achraf Douiri,2023.0,120000.0
232,Achraf El Bouchataoui,2021.0,237500.0
233,Achraf Hakimi,2023.0,36460869.56521739
234,Achraf Lazaar,2021.0,1150892.857142857
235,Achraf Laâziri,2023.0,250000.0
236,Adalberto Peñaranda,2022.0,1731578.9473684211
237,Adam Andersson,2022.0,419444.44444444444
238,Adam Armstrong,2022.0,7850000.0
239,Adam Asghar,2012.0,25000.0
240,Adam Bareiro,2020.0,2525000.0
